cadre	noun	a small unit serving as part of or as the nucleus of a larger political movement
cagey	adjective	showing self-interest and shrewdness in dealing with others
candy	noun	a rich sweet made of flavored sugar and often combined with fruit or nuts
caper	verb	jump about playfully
cargo	noun	goods carried by a large vehicle
carry	verb	move while supporting, either in a vehicle or in one's hands or on one's body
carve	verb	form by carving
catch	verb	discover or come upon accidentally, suddenly, or unexpectedly
cater	verb	give what is desired or needed, especially support, food or sustenance
cause	verb	give rise to
cease	verb	put an end to a state or an activity
chafe	verb	become or make sore by or as if by rubbing
chain	noun	a series of things depending on each other as if linked together
chair	noun	a seat for one person, with a support for the back
champ	noun	someone who has won first place in a competition
chant	verb	recite with musical intonation
chaos	noun	a state of extreme confusion and disorder
charm	noun	attractiveness that interests or pleases or stimulates
chart	noun	a visual display of information
chase	verb	go after with the intent to catch
cheap	adjective	relatively low in price or charging low prices
cheat	verb	deprive somebody of something by deceit
check	verb	examine so as to determine accuracy, quality, or condition
cheek	noun	either side of the face below the eyes
cheer	noun	a cry or shout of approval
chick	noun	young bird especially of domestic fowl
chide	verb	censure severely or angrily
chief	adjective	most important element
child	noun	a young person of either sex
chill	noun	coldness due to a cold environment
chirp	verb	make high-pitched sounds
choir	noun	a chorus that sings as part of a religious ceremony
choke	verb	breathe with great difficulty, as when experiencing a strong emotion
chord	noun	a straight line connecting two points on a curve
chore	noun	a specific piece of work required to be done as a duty or for a specific fee
chuck	verb	throw carelessly
chump	noun	a person who is gullible and easy to take advantage of
chunk	noun	a compact mass
churn	verb	stir (cream) vigorously in order to make butter
chute	noun	rescue equipment consisting of a device that fills with air and retards your fall
cigar	noun	a roll of tobacco for smoking
cinch	noun	any undertaking that is easy to do
civic	adjective	of or relating or belonging to a city
civil	adjective	applying to ordinary citizens as contrasted with the military
claim	verb	assert or affirm strongly
clamp	verb	fasten or fix with a clamp
clang	verb	make a loud noise
clank	verb	make a clank
clash	noun	a loud resonant repeating noise
clasp	verb	hold firmly and tightly
class	noun	a collection of things sharing a common attribute
clean	adjective	free from dirt or impurities
clear	adjective	readily apparent to the mind
cleat	noun	a metal or leather projection (as from the sole of a shoe)
cleft	noun	a split or indentation in something (as the palate or chin)
clerk	noun	an employee who performs clerical work (e.g., keeps records or accounts)
click	verb	move or strike with a noise
cliff	noun	a steep high face of rock
climb	verb	go upward with gradual or continuous progress
cling	verb	come or be in close contact with
clink	verb	make a high sound typical of glass
cloak	noun	anything that covers or conceals
clock	noun	a timepiece that shows the time of day
close	adjective	at or within a short distance in space or time or having elements near each other
cloth	noun	artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
cloud	noun	any collection of particles (e.g., smoke or dust) or gases that is visible
clown	noun	a rude or vulgar fool
cluck	verb	make a clucking sounds, characteristic of hens
clump	noun	a grouping of a number of similar things
coach	noun	someone in charge of training an athlete or a team
coast	noun	the shore of a sea or ocean
cocky	adjective	overly self-confident or self-assertive
colon	noun	the part of the large intestine between the cecum and the rectum
color	noun	a visual attribute of things that results from the light they emit or transmit or reflect
comic	adjective	arousing or provoking laughter
coral	noun	a variable color averaging a deep pink
corps	noun	an army unit usually consisting of two or more divisions and their support
couch	noun	an upholstered seat for more than one person
cough	verb	exhale abruptly, as when one has a chest cold or congestion
count	verb	determine the number or amount of
court	noun	an assembly (including one or more judges) to conduct judicial business
cover	verb	provide with a covering or cause to be covered
covet	verb	wish, long, or crave for (something, especially the property of another person)
cower	verb	crouch or curl up
crack	verb	become fractured
craft	noun	the skilled practice of a practical occupation
cramp	noun	a painful and involuntary muscular contraction
crane	verb	stretch (the neck) so as to see better
crash	noun	a loud resonant repeating noise
crate	noun	a rugged box (usually made of wood)
crave	verb	have a craving, appetite, or great desire for
crawl	verb	move slowly
craze	noun	an interest followed with exaggerated zeal
crazy	adjective	affected with madness or insanity
creak	verb	make a high-pitched, screeching noise
cream	noun	the best people or things in a group
credo	noun	any system of principles or beliefs
creed	noun	any system of principles or beliefs
creek	noun	a natural stream of water smaller than a river (and often a tributary of a river)
creep	verb	move slowly
crest	noun	the top line of a hill, mountain, or wave
crime	noun	an act punishable by law
crisp	adjective	clearly defined
crony	noun	a close friend who accompanies his buddies in their activities
crook	noun	someone who has committed a crime or has been legally convicted of a crime
croon	verb	sing softly
cross	verb	travel across or pass over
crowd	noun	a large number of things or people considered together
crown	verb	invest with regal power
crude	adjective	not carefully or expertly made
cruel	adjective	able or disposed to inflict pain or suffering
crush	verb	come down on or keep down by unjust use of one's authority
crust	noun	the outer layer of the Earth
curio	noun	something unusual -- perhaps worthy of collecting
curly	adjective	having curls or waves
curse	verb	utter obscenities or profanities
curve	noun	the trace of a point whose direction of motion changes
cycle	noun	an interval during which a recurring sequence of events occurs
cynic	noun	someone who is critical of the motives of others
daddy	noun	an informal term for a father
daily	adverb	every day
dairy	noun	a farm where dairy products are produced
dance	verb	move in a graceful and rhythmical way
daunt	verb	cause to lose courage
death	noun	the event of dying or departure from life
debut	noun	the act of beginning something new
decay	verb	lose a stored charge, magnetic flux, or current
decor	noun	decoration consisting of the layout and furnishings of a livable interior
decry	verb	express strong disapproval of
defer	verb	hold back to a later time
deign	verb	do something that one considers to be below one's dignity
delay	verb	cause to be slowed down or delayed
delve	verb	turn up, loosen, or remove earth
demon	noun	an evil supernatural being
dense	adjective	permitting little if any light to pass through because of denseness of matter
depot	noun	station where transport vehicles load or unload passengers or goods
depth	noun	the extent downward or backward or inward
deter	verb	try to prevent
devil	noun	chief spirit of evil and adversary of God
diary	noun	a daily written record of (usually personal) experiences and observations
dimly	adverb	in a dim indistinct manner
dingy	adjective	thickly covered with ingrained dirt or soot
dirty	adjective	soiled or likely to soil with dirt or grime
ditch	noun	a long narrow excavation in the earth
ditty	noun	a short simple song (or the words of a poem intended to be sung)
dizzy	adjective	having or causing a whirling sensation
dodge	verb	make a sudden movement in a new direction so as to avoid
dogma	noun	a religious doctrine that is proclaimed as true without proof
donor	noun	person who makes a gift of property
doubt	noun	the state of being unsure of something
dough	noun	a flour mixture stiff enough to knead or roll
dowry	noun	money or property brought by a woman to her husband at marriage
dozen	noun	the cardinal number that is the sum of eleven and one
draft	verb	draw up an outline or sketch for something
drain	verb	flow off gradually
drama	noun	a dramatic work intended for performance by actors on a stage
drape	verb	arrange in a particular way
drawl	noun	a slow speech pattern with prolonged vowels
drawn	adjective	showing the wearing effects of overwork or care or suffering
dread	verb	be afraid or scared of
dream	noun	a series of mental images and emotions occurring during sleep
dress	noun	a one-piece garment for a woman
drift	verb	be in motion due to some air or water current
drill	verb	make a hole, especially with a pointed power or hand tool
drink	verb	take in liquids
drive	verb	operate or control a vehicle
droop	verb	droop, sink, or settle from or as if from pressure or loss of tautness
drown	verb	cover completely or make imperceptible
drunk	adjective	stupefied or excited by a chemical substance (especially alcohol)
dryly	adverb	in a dry laconic manner
dwarf	verb	make appear small by comparison
dwell	verb	think moodily or anxiously about something
dying	adjective	in or associated with the process of passing from life or ceasing to be
eager	adjective	having or showing keen interest or intense desire or impatient expectancy
earth	noun	the 3rd planet from the sun
easel	noun	an upright tripod for displaying something (usually an artist's canvas)
ebony	noun	a very dark black
edify	verb	make understand
eight	adjective	being one more than seven
eject	verb	put out or expel from a place
elder	noun	a person who is older than you are
elect	verb	select by a vote for an office or membership
elfin	adjective	suggestive of an elf in strangeness and otherworldliness
elite	noun	a group or class of persons enjoying superior intellectual or social or economic status
elude	verb	escape, either physically or mentally
embed	verb	fix or set securely or deeply
empty	adjective	holding or containing nothing
enact	verb	order by virtue of superior authority
endow	verb	give qualities or abilities to
enemy	noun	an opposing military force
enjoy	verb	derive or receive pleasure from
ensue	verb	issue or terminate (in a specified way, state, etc.)
enter	verb	to come or go into
entry	noun	an item inserted in a written record
epoch	noun	a period marked by distinctive character or reckoned from a fixed point or event
equal	adjective	having the same quantity, value, or measure as another
equip	verb	provide with (something) usually for a specific purpose
erase	verb	remove from memory or existence
erect	verb	construct, build, or erect
erode	verb	become ground down or deteriorate
error	noun	a wrong action attributable to bad judgment or ignorance or inattention
erupt	verb	start abruptly
essay	noun	an analytic or interpretive literary composition
ethic	noun	the principles of right and wrong that are accepted by an individual or a social group
evade	verb	avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)
event	noun	something that happens at a given place and time
every	adjective	each and all of the members of a group considered singly and without exception
evoke	verb	call forth (emotions, feelings, and responses)
exact	adjective	marked by strict and particular and complete accordance with fact
exalt	verb	praise, glorify, or honor
excel	verb	distinguish oneself
exert	verb	put to use
exile	verb	expel from a country
exist	verb	have an existence, be extant
expel	verb	force to leave or move out
extra	adjective	more than is needed, desired, or required
exude	verb	release (a liquid) in drops or small quantities
facet	noun	a distinct feature or element in a problem
faint	adjective	deficient in magnitude
fairy	noun	a small being, human in form, playful and having magical powers
faith	noun	a strong belief in a supernatural power or powers that control human destiny
false	adjective	not in accordance with the fact or reality or actuality
fancy	verb	imagine
farce	noun	a comedy characterized by broad satire and improbable situations
fatal	adjective	bringing death
fatty	adjective	containing or composed of fat
fault	noun	a wrong action attributable to bad judgment or ignorance or inattention
favor	verb	promote over another
feast	noun	a ceremonial dinner party for many people
feign	verb	make believe with the intent to deceive
feint	verb	deceive by a mock action
felon	noun	someone who has committed a crime or has been legally convicted of a crime
fence	noun	a barrier that serves to enclose an area
ferry	verb	transport from one place to another
fetch	verb	go or come after and bring or take back
fetid	adjective	offensively malodorous
fever	noun	a rise in the temperature of the body
fiber	noun	a slender and greatly elongated substance capable of being spun into yarn
field	noun	a piece of land cleared of trees and usually enclosed
fiend	noun	a cruel wicked and inhuman person
fiery	adjective	characterized by intense emotion
fifth	adjective	coming next after the fourth and just before the sixth in position
fifty	adjective	being ten more than forty
fight	verb	be engaged in a fight
filly	noun	a young female horse under the age of four
final	adjective	occurring at or forming an end or termination
first	adjective	preceding all others in time or space or degree
flail	noun	an implement consisting of handle with a free swinging stick at the end
flair	noun	a natural talent
flake	verb	form into flakes
flank	verb	be located at the sides of something or somebody
flare	noun	a shape that spreads outward
flash	verb	gleam or glow intermittently
flask	noun	bottle that has a narrow neck
fleck	noun	a small fragment of something broken off from the whole
fleet	adjective	moving very fast
flesh	noun	the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
flick	noun	a light sharp contact (usually with something flexible)
fling	verb	throw with force or recklessness
flint	noun	a hard kind of stone
flirt	verb	talk or behave amorously, without serious intentions
float	verb	be in motion due to some air or water current
flock	noun	a church congregation guided by a pastor
flood	verb	fill quickly beyond capacity
floor	noun	the inside lower horizontal surface (as of a room, hallway, tent, or other structure)
flour	noun	fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
flout	verb	treat with contemptuous disregard
fluff	noun	any light downy material
fluid	noun	a substance that is fluid at room temperature and pressure
flush	verb	turn red, as if in embarrassment or shame
flute	noun	a high-pitched woodwind instrument
foamy	adjective	producing or covered with lathery sweat or saliva from exhaustion or disease
focus	noun	the concentration of attention or energy on something
folly	noun	the trait of acting stupidly or rashly
force	verb	to cause to do through pressure or necessity, by physical, moral or intellectual means
forge	verb	create by hammering
forgo	verb	do without or cease to hold or adhere to
forte	noun	an asset of special worth or utility
forth	adverb	from a particular thing or place or position ('forth' is obsolete)
forty	adjective	being ten more than thirty
found	verb	set up or found
foyer	noun	a large entrance or reception room or area
frail	adjective	physically weak
frame	noun	the framework for a pair of eyeglasses
franc	noun	the basic monetary unit in many countries
frank	adjective	characterized by directness in manner or speech
fraud	noun	intentional deception resulting in injury to another person
freak	noun	a person or animal that is markedly unusual or deformed
fresh	adjective	recently made, produced, or harvested
front	noun	the side that is forward or prominent
frost	noun	ice crystals forming a white deposit (especially on objects outside)
froth	noun	a mass of small bubbles formed in or on a liquid
frown	verb	look angry or sullen, wrinkle one's forehead, as if to signal disapproval
fruit	noun	the ripened reproductive body of a seed plant
fully	adverb	to the greatest degree or extent
funny	adjective	arousing or provoking laughter
furor	noun	an interest followed with exaggerated zeal
furry	adjective	covered with a dense coat of fine silky hairs
fussy	adjective	annoyed and irritable
fuzzy	adjective	covering with fine light hairs
gable	noun	the vertical triangular wall between the sloping ends of gable roof
gaily	adverb	in a gay manner
gamut	noun	a complete extent or range: "a face that expressed a gamut of emotions"
gaudy	adjective	tastelessly showy
gauge	verb	judge tentatively or form an estimate of (quantities or time)
gaunt	adjective	very thin especially from disease or hunger or cold
genre	noun	a kind of literary or artistic work
genus	noun	a general kind of something
ghost	noun	a mental representation of some haunting experience
ghoul	noun	someone who takes bodies from graves and sells them for anatomical dissection
giant	adjective	of great mass
given	adjective	acknowledged as a supposition
glare	verb	look at with a fixed gaze
glass	noun	a brittle transparent solid with irregular atomic structure
glaze	verb	coat with a glaze
gleam	noun	an appearance of reflected light
glean	verb	gather, as of natural products
glide	verb	move smoothly and effortlessly
glint	verb	be shiny, as if wet
gloat	verb	dwell on with satisfaction
globe	noun	the 3rd planet from the sun
gloom	noun	a state of partial or total darkness
glory	noun	a state of high honor
glove	noun	the handwear used by fielders in playing baseball
gnash	verb	grind together, of teeth
gnome	noun	a legendary creature resembling a tiny old man
going	noun	the act of departing
goner	noun	a person in desperate straits
gorge	verb	overeat or eat immodestly
gouge	verb	force with the thumb
gourd	noun	bottle made from the dried shell of a bottle gourd
grace	noun	a state of sanctification by God
grade	noun	a body of students who are taught together
grain	noun	a relatively small granular particle of a substance
grand	adjective	of behavior that is impressive and ambitious in scale or scope
grant	verb	let have
grape	noun	any of various juicy fruit of the genus Vitis with green or purple skins
grasp	verb	hold firmly
grass	noun	narrow-leaved green herbage: grown as lawns
grate	noun	a frame of iron bars to hold a fire
grave	noun	death of a person
graze	verb	feed as in a meadow or pasture
great	adjective	relatively large in size or number or extent
green	adjective	of the color between blue and yellow in the color spectrum
greet	verb	express greetings upon meeting someone
grief	noun	intense sorrow caused by loss of a loved one (especially by death)
grill	noun	a restaurant where food is cooked on a grill
grimy	adjective	thickly covered with ingrained dirt or soot
grind	verb	press or grind with a crushing noise
gripe	noun	informal terms for objecting
groan	verb	indicate pain, discomfort, or displeasure
groom	noun	a man participant in his own marriage ceremony
grope	verb	feel about uncertainly or blindly
gross	adjective	before any deductions
group	noun	any number of entities (members) considered as a unit
grove	noun	a small growth of trees without underbrush
growl	verb	to utter or emit low dull rumbling sounds
grown	adjective	fully developed
gruff	adjective	brusque and surly and forbidding
grunt	verb	issue a grunting, low, animal-like noise
guard	noun	a person who keeps watch over something or someone
guess	verb	expect, believe, or suppose
guest	noun	a visitor to whom hospitality is extended
guide	verb	direct the course
guilt	noun	the state of having committed an offense
gully	noun	deep ditch cut by running water (especially after a prolonged downpour)
gummy	adjective	having the sticky properties of an adhesive
gusto	noun	vigorous and enthusiastic enjoyment
habit	noun	an established custom
hairy	adjective	having or covered with hair
handy	adjective	easy to reach
happy	adjective	enjoying or showing or marked by joy or pleasure
hardy	adjective	having rugged physical strength
harsh	adjective	unpleasantly stern
haste	noun	overly eager speed (and possible carelessness)
hasty	adjective	excessively quick
hatch	verb	emerge from the eggs
haunt	verb	follow stealthily or recur constantly and spontaneously to
haven	noun	a shelter serving as a place of safety or sanctuary
havoc	noun	violent and needless disturbance
hazel	adjective	of a light brown or yellowish brown color
heard	adjective	detected or perceived by the sense of hearing
heart	noun	the locus of feelings and intuitions
heave	verb	utter a sound, as with obvious effort
heavy	adjective	of comparatively great physical weight or density
hedge	noun	a fence formed by a row of closely planted shrubs or bushes
hefty	adjective	possessing physical strength and weight
heist	verb	commit a burglary
hello	noun	an expression of greeting
hence	adverb	from that fact or reason or as a result
hinge	noun	a joint that holds two parts together so that one can swing relative to the other
hitch	verb	to hook or entangle
hobby	noun	an auxiliary activity
hoist	verb	raise or haul up with or as if with mechanical help
honey	noun	a sweet yellow liquid produced by bees
honor	verb	bestow honor or rewards upon
horde	noun	a vast multitude
horse	noun	solid-hoofed herbivorous quadruped domesticated since prehistoric times
hotel	noun	a building where travelers can pay for lodging and meals and other services
hound	noun	any of several breeds of dog used for hunting typically having large drooping ears
house	noun	a dwelling that serves as living quarters for one or more families
hover	verb	be undecided about something
human	adjective	characteristic of humanity
humor	noun	a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
hunch	noun	an impression that something might be the case
hurry	verb	move very fast
husky	adjective	muscular and heavily built
ideal	adjective	conforming to an ultimate standard of perfection or excellence
idiom	noun	a manner of speaking that is natural to native speakers of a language
image	noun	an iconic mental representation
impel	verb	urge or force (a person) to an action
imply	verb	express or state indirectly
incur	verb	make oneself subject to
index	noun	a numerical scale used to compare variables with one another or with some reference number
inept	adjective	not elegant or graceful in expression
inert	adjective	unable to move or resist motion
infer	verb	reason by deduction
inlet	noun	an arm off of a larger body of water (often between rocky headlands)
inner	adjective	located inward
input	noun	signal going into an electronic system
inter	verb	place in a grave or tomb
irony	noun	witty language used to convey insults or scorn
issue	noun	an important question that is in dispute and must be settled
jazzy	adjective	resembling jazz (especially in its rhythm)
jewel	noun	a precious or semiprecious stone incorporated into a piece of jewelry
joint	adjective	united or combined
joker	noun	a person who enjoys telling or playing jokes
jolly	adjective	full of or showing high-spirited merriment
judge	verb	determine the result of (a competition)
juice	noun	the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
juicy	adjective	full of juice
jumpy	adjective	being in a tense state
juror	noun	someone who serves (or waits to be called to serve) on a jury
khaki	adjective	of a yellowish brown color
knack	noun	a special way of doing something
knead	verb	make uniform
kneel	verb	rest one's weight on one's knees
knife	noun	edge tool used as a cutting instrument
knock	verb	deliver a sharp blow or push
knoll	noun	a small natural hill
known	adjective	apprehended with certainty
label	verb	assign a label to
labor	noun	a social class comprising those who do manual labor or work for wages
laden	adjective	filled with a great quantity
lance	noun	a long pointed rod used as a tool or weapon
lanky	adjective	tall and thin and having long slender limbs
lapel	noun	lap at the front of a coat
lapse	noun	a mistake resulting from inattention
large	adjective	above average in size or number or quantity or magnitude or extent
latch	verb	fasten with a latch
later	adverb	happening at a time subsequent to a reference time
laugh	verb	produce laughter
layer	noun	single thickness of usually some homogeneous substance
learn	verb	gain knowledge or skills
lease	verb	let for money
leash	noun	restraint consisting of a rope (or light chain) used to restrain an animal
least	adverb	used to form the superlative
leave	verb	go away from a place
ledge	noun	a projecting ridge on a mountain or submerged under water
legal	adjective	established by or founded upon law or official or accepted rules
leggy	adjective	having tall spindly stems
lemon	noun	yellow oval fruit with juicy acidic flesh
level	noun	a position on a scale of intensity or amount or quality
lever	noun	a rigid bar pivoted about a fulcrum
light	noun	electromagnetic radiation that can produce a visual sensation
limbo	noun	the state of being disregarded or forgotten
limit	noun	the greatest possible degree of something
linen	noun	a fabric woven with fibers from the flax plant
liner	noun	a hit that flies straight out from the batter
lithe	adjective	gracefully thin and bending and moving with ease
livid	adjective	anemic looking from illness or emotion
lobby	noun	a large entrance or reception room or area
lodge	verb	be a lodger
lofty	adjective	of high moral or intellectual value
logic	noun	the branch of philosophy that analyzes inference
loose	adjective	not compact or dense in structure or arrangement
loser	noun	a contestant who loses the contest
louse	noun	wingless usually flattened bloodsucking insect parasitic on warm-blooded animals
lousy	adjective	very bad
lover	noun	a person who loves someone or is loved by someone
lower	verb	move something or somebody to a lower position
lowly	adjective	low or inferior in station or quality
loyal	adjective	steadfast in allegiance or duty
lucid	adjective	transparently clear
lucky	adjective	occurring by chance
lunar	adjective	of or relating to or associated with the moon
lunch	noun	a midday meal
lunge	verb	make a thrusting forward movement
lurch	verb	walk as if unable to control one's movements
lurid	adjective	horrible in fierceness or savagery
lyric	noun	the text of a popular song or musical-comedy number
madam	noun	a woman of refinement
madly	adverb	in an uncontrolled manner
magic	noun	any art that invokes supernatural powers
major	adjective	of greater importance or stature or rank
maker	noun	a person who makes things
mania	noun	an irrational but irresistible motive for a belief or action
manic	adjective	affected with or marked by frenzy or mania uncontrolled by reason
manor	noun	the mansion of a lord or wealthy person
maple	noun	wood of any of various maple trees
march	verb	march in a procession
marry	verb	take in marriage
marsh	noun	low-lying wet land with grassy vegetation
match	verb	be compatible, similar or consistent
mauve	adjective	of a pale to moderate greyish violet color
maxim	noun	a saying that is widely accepted on its own merits
maybe	adverb	by chance
mayor	noun	the head of a city government
meaty	adjective	like or containing meat
medal	noun	an award for winning a championship or commemorating some other event
melee	noun	a noisy riotous fight
melon	noun	any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
merge	verb	become one
merit	verb	be worthy or deserving
merry	adjective	full of or showing high-spirited merriment
messy	adjective	dirty and disorderly
metro	noun	an electric railway operating below the surface of the ground (usually in a city)
midst	noun	the location of something surrounded by other things
might	noun	physical strength
mince	verb	make less severe or harsh
miner	noun	laborer who works in a mine
minor	adjective	of lesser importance or stature or rank
misty	adjective	filled or abounding with fog or mist
modal	adjective	relating to or constituting the most frequent value in a distribution
model	noun	a hypothetical description of a complex entity or process
moist	adjective	slightly wet
